DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2011-11-23 00:00:00,-60905.949993330054,70612.48468133993,68543.29597433083,60448.152337178355,60714.03301997122,74136.61613706918,74442.99855381378,64293.800940460176,62389.85169830016,76022.98187516187,78134.6247801769
2011-11-22 00:00:00,-25962.074431600166,70612.48468133993,68543.29597433083,60457.093553756014,60723.326067949645,73771.02372065757,74077.18564498646,61492.690638179425,61579.94075581559,70863.9590062527,72371.77782083249
2011-11-21 00:00:00,-4202.387875440065,70612.48468133993,68543.29597433083,60193.373213658575,60459.22982004017,73930.66402324731,74236.97398463509,61663.5686628893,60233.821812774106,71665.76174197637,68546.15691358034
2011-11-18 00:00:00,6598.715412069927,70612.48468133993,68543.29597433083,60389.977168255486,60656.1031184328,73673.19453422364,73979.44878646487,66057.69716014527,63376.45798668381,70398.88786813477,72284.89444596575
2011-11-17 00:00:00,41665.76985109993,70612.48468133993,68543.29597433083,60265.88551811583,60531.86261537997,73688.79753739969,73995.29757585295,64436.316457160516,62963.18666379992,67705.95470901206,68497.3690693146
2011-11-16 00:00:00,46368.88127104007,70612.48468133993,68543.29597433083,60087.870668618125,60353.713795607444,73571.4964579863,73878.12463721645,62035.52735156927,62534.76250518978,76444.23283797968,75871.0817291344
2011-11-15 00:00:00,35499.25123345002,70612.48468133993,68543.29597433083,60090.05126413377,60355.693255533464,73476.06253286288,73782.84322256618,60328.02645381424,57745.1928415744,80971.67581019679,81881.4859838393
2011-11-14 00:00:00,29135.15566655004,70612.48468133993,68543.29597433083,59937.76752879191,60203.45220297307,73651.28993436648,73958.03386611457,53203.90089128446,55844.73851885669,77143.67537288403,75070.62542908972
2011-11-11 00:00:00,18341.357279660064,70612.48468133993,68543.29597433083,60090.265692478395,60355.8828976521,73626.93736382632,73933.90063724061,67381.40422949404,63191.7099501261,70034.65214982897,69894.98250920507
2011-11-10 00:00:00,3626.9900554999476,70612.48468133993,68543.29597433083,59938.517107522464,60204.0241594722,73788.9384537636,74096.04086411523,62128.155013182084,60096.02377363925,78239.74450584024,78531.41491217226
2011-11-09 00:00:00,1305.5201742899371,70612.48468133993,68543.29597433083,59329.58561614377,59594.26623290393,73716.40826289682,74023.68724981206,60589.78453014721,58347.46390152437,70178.99933358259,67653.9273663933
2011-11-08 00:00:00,17382.26175011997,70612.48468133993,68543.29597433083,59404.79936295166,59670.31415274716,73198.94515190099,73505.75231850566,59975.8523786806,60918.9754065642,73941.49209556798,74977.35038579215
2011-11-07 00:00:00,23502.472575619933,70612.48468133993,68543.29597433083,59383.513828947674,59649.04918447323,73359.26456901082,73666.21856712282,60956.4948143051,59357.1012494067,68940.20948767662,69832.69643809431
2011-11-04 00:00:00,14806.025562239927,70612.48468133993,68543.29597433083,59241.16497717588,59506.94634058338,73458.2725056922,73765.48243454471,66821.30870864331,65270.93182128703,66339.55061232392,66746.95771235345
2011-11-03 00:00:00,30688.36015035992,70612.48468133993,68543.29597433083,59260.7237469065,59526.23814915202,73452.18668376387,73759.62956957321,65615.04824030492,64770.805683742314,70888.84114711895,70959.38242469153
2011-11-02 00:00:00,5246.926017650054,70612.48468133993,68543.29597433083,59308.29712388641,59573.73314778262,73627.88635883434,73935.29921224923,65302.58331944642,63079.903350569686,73469.51185256825,73563.73031384536
2011-11-01 00:00:00,-30583.201714160037,70612.48468133993,68543.29597433083,58951.053143998375,59216.035157228005,73779.94984554243,74087.54266370332,59933.50317588635,61414.81363869267,79162.5434123762,78376.08034277511
